class_name,precision,recall,f1_score,support
bladder,0.8,0.6666666666666666,0.7272727272727273,12
brain,0.7692307692307693,0.8333333333333334,0.8,12
cardia,0.8,0.6666666666666666,0.7272727272727273,12
cerebellum,0.8333333333333334,0.8333333333333334,0.8333333333333334,12
epiglottis,0.7692307692307693,0.9090909090909091,0.8333333333333334,11
gland,0.8913043478260869,0.9318181818181818,0.9111111111111111,44
jejunum,1.0,0.9,0.9473684210526315,10
kidney,0.75,0.8181818181818182,0.782608695652174,11
liver,0.975,0.975,0.975,40
lung,0.6363636363636364,0.6363636363636364,0.6363636363636364,11
melanoma,0.9090909090909091,0.8333333333333334,0.8695652173913043,12
muscle,0.8333333333333334,0.5555555555555556,0.6666666666666666,9
oesophagus,0.94,1.0,0.9690721649484536,47
pancreas,0.9534883720930233,0.9318181818181818,0.9425287356321839,44
peritoneum,0.7142857142857143,0.8333333333333334,0.7692307692307693,12
pylorus,0.9090909090909091,0.8333333333333334,0.8695652173913043,12
rectum,0.6153846153846154,0.6666666666666666,0.64,12
spleen,0.96875,0.9117647058823529,0.9393939393939394,34
testis,0.8333333333333334,0.8333333333333334,0.8333333333333334,12
tongue,0.9230769230769231,0.9,0.9113924050632911,40
tonsile,0.9230769230769231,1.0,0.96,12
umbilical-cord,0.9166666666666666,1.0,0.9565217391304348,11
