,bladder,brain,cardia,cerebellum,epiglottis,gland,jejunum,kidney,liver,lung,melanoma,muscle,oesophagus,pancreas,peritoneum,pylorus,rectum,spleen,testis,tongue,tonsile,umbilical-cord
bladder,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
brain,0,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cardia,0,0,8,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
cerebellum,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
epiglottis,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gland,0,0,0,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
jejunum,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kidney,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
liver,0,0,0,0,0,1,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
lung,0,0,0,1,2,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
melanoma,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,1,0,0
muscle,0,3,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
oesophagus,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
pancreas,0,0,0,0,0,1,0,0,0,1,0,0,1,41,0,0,0,0,0,0,0,0
peritoneum,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0
pylorus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
rectum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0
spleen,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,31,1,0,0,0
testis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0
tongue,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,36,0,0
tonsile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
umbilical-cord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
