true_class,pred_class,count
bladder,rectum,3
muscle,brain,3
rectum,bladder,2
rectum,peritoneum,2
lung,epiglottis,2
tongue,oesophagus,2
brain,cerebellum,1
brain,muscle,1
cardia,melanoma,1
bladder,tonsile,1
cerebellum,spleen,1
cerebellum,lung,1
cardia,tongue,1
cardia,pylorus,1
cardia,pancreas,1
jejunum,kidney,1
epiglottis,umbilical-cord,1
gland,kidney,1
liver,gland,1
kidney,liver,1
lung,pancreas,1
lung,cerebellum,1
melanoma,peritoneum,1
kidney,gland,1
gland,testis,1
gland,tongue,1
pancreas,gland,1
muscle,epiglottis,1
melanoma,tongue,1
pancreas,lung,1
peritoneum,rectum,1
peritoneum,cardia,1
pylorus,peritoneum,1
pancreas,oesophagus,1
pylorus,cardia,1
spleen,kidney,1
spleen,testis,1
spleen,lung,1
testis,gland,1
testis,rectum,1
tongue,gland,1
tongue,lung,1
